County,date,deaths,cases,Region,Color
Greene,2020-03-20T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-20T00:00:00Z,1,36,Finger Lakes,#b4ffaa
Montgomery,2020-03-20T00:00:00Z,0,2,Mohawk Valley,#ffff00
Nassau,2020-03-20T00:00:00Z,1,754,Long Island,#ff64a5
New York,2020-03-20T00:00:00Z,0,5151,New York City,#c8ff00
Niagara,2020-03-20T00:00:00Z,0,4,Western New York,#979797
Oneida,2020-03-20T00:00:00Z,0,2,Central New York,#d7e1be
Onondaga,2020-03-20T00:00:00Z,0,13,Central New York,#d7e1be
Orange,2020-03-20T00:00:00Z,0,84,Mid-Hudson,#91bdf0
Putnam,2020-03-20T00:00:00Z,0,12,Mid-Hudson,#91bdf0
Rensselaer,2020-03-20T00:00:00Z,0,8,Capital,#00ffff
Rockland,2020-03-20T00:00:00Z,2,101,Mid-Hudson,#91bdf0
Saratoga,2020-03-20T00:00:00Z,0,21,Capital,#00ffff
Schenectady,2020-03-20T00:00:00Z,0,14,Capital,#00ffff
Schoharie,2020-03-20T00:00:00Z,0,2,Mohawk Valley,#ffff00
Steuben,2020-03-20T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Suffolk,2020-03-20T00:00:00Z,3,459,Long Island,#ff64a5
Tompkins,2020-03-20T00:00:00Z,0,11,Southern Tier,#ffd900
Ulster,2020-03-20T00:00:00Z,0,9,Mid-Hudson,#91bdf0
Westchester,2020-03-20T00:00:00Z,0,1091,Mid-Hudson,#91bdf0
Wyoming,2020-03-20T00:00:00Z,0,2,Western New York,#979797
New York State,2020-03-21T00:00:00Z,77,11727,New York State,#7a7a7a
Albany,2020-03-21T00:00:00Z,0,88,Capital,#00ffff
Allegany,2020-03-21T00:00:00Z,0,2,Western New York,#979797
Broome,2020-03-21T00:00:00Z,1,2,Southern Tier,#ffd900
Chenango,2020-03-21T00:00:00Z,0,2,Southern Tier,#ffd900
Clinton,2020-03-21T00:00:00Z,0,4,North Country,#dcc8dc
Columbia,2020-03-21T00:00:00Z,0,7,Capital,#00ffff
Dutchess,2020-03-21T00:00:00Z,1,49,Mid-Hudson,#91bdf0
Erie,2020-03-21T00:00:00Z,0,50,Western New York,#979797
Essex,2020-03-21T00:00:00Z,0,2,North Country,#dcc8dc
Greene,2020-03-21T00:00:00Z,0,2,Capital,#00ffff
Hamilton,2020-03-21T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-03-21T00:00:00Z,0,3,Mohawk Valley,#ffff00
Livingston,2020-03-21T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Monroe,2020-03-21T00:00:00Z,1,46,Finger Lakes,#b4ffaa
Montgomery,2020-03-21T00:00:00Z,0,3,Mohawk Valley,#ffff00
